matchNum,summoner,matchId,blueKills-redKills,blueAssists-redAssists,blueGold-redGold,blueAvgLevel-redAvgLevel,blueDamageToTurrets-redDamageToTurrets,blueDragonKills-redDragonKills,gameLength,numPlayers,outcome
1,LaggedOutt,NA1_4244967972,6,9,7653,0.8,5785,2,1738,10,1
2,LaggedOutt,NA1_4239906051,2,-15,-2725,-0.2,-13718,-5,2315,10,0
3,LaggedOutt,NA1_4239753083,11,31,11286,1.4,13681,2,1458,10,1
4,LaggedOutt,NA1_4239676674,20,45,3532,1.4,6117,4,1820,10,1
5,LaggedOutt,NA1_4239681733,-11,2,-6549,-1.0,-8649,-2,1211,10,0
6,LaggedOutt,NA1_4239647430,-13,-15,-10270,-0.8,-7863,0,1029,10,0
7,LaggedOutt,NA1_4238979548,-6,-5,-4216,-0.2,-8765,-3,1926,10,0
8,LaggedOutt,NA1_4238963297,8,44,-1137,-0.4,3777,-1,2308,10,0
9,LaggedOutt,NA1_4238950395,11,6,11935,1.2,12875,2,947,10,1
10,LaggedOutt,NA1_4238676468,-19,-9,-13548,-1.4,-12009,-3,1272,10,0
11,LaggedOutt,NA1_4238691916,21,26,5267,0.8,2812,3,1276,10,1
12,LaggedOutt,NA1_4237838676,-10,-9,-10810,-1.0,-16583,-2,1613,10,0
13,LaggedOutt,NA1_4236881960,-15,-8,-11661,-2.2,2726,-4,1810,10,0
14,LaggedOutt,NA1_4236769268,-20,-17,-8573,-1.6,-3748,-1,1266,10,0
15,LaggedOutt,NA1_4235937106,22,45,8795,1.2,8363,4,1638,10,1
16,LaggedOutt,NA1_4192426543,4,9,5621,0.6,4556,-2,1134,10,1
17,LaggedOutt,NA1_4192442124,-5,-20,-6205,-0.8,1999,-4,2622,10,0
18,LaggedOutt,NA1_4192346948,21,9,11007,1.8,8253,2,917,10,1
19,LaggedOutt,NA1_4192393621,22,31,6846,1.0,14120,2,1814,10,1
20,LaggedOutt,NA1_4003793823,-3,-15,-5602,-1.2,-9915,0,1932668,10,0
21,LaggedOutt,NA1_3969672753,15,26,8554,0.0,9348,2,3003816,10,1
22,METAPODxHARDEN,NA1_4243726549,1,34,5034,1.2,5254,0,1656,10,1
23,METAPODxHARDEN,NA1_4243693974,16,31,8929,1.8,-165,1,2079,10,1
24,METAPODxHARDEN,NA1_4243619069,-2,6,-11718,-1.2,-18522,1,2032,10,0
25,METAPODxHARDEN,NA1_4243604470,27,60,15046,1.8,8447,4,1845,10,1
26,METAPODxHARDEN,NA1_4243477809,-29,-44,-12642,-2.6,-7291,-2,1677,10,0
27,METAPODxHARDEN,NA1_4243481048,10,20,8852,0.6,18146,2,1914,10,1
28,METAPODxHARDEN,NA1_4239459755,6,1,-4508,-1.0,-21831,-2,2040,10,0
29,METAPODxHARDEN,NA1_4239402535,-3,10,-1662,0.0,-15024,-5,1977,10,0
30,METAPODxHARDEN,NA1_4239244669,-18,-22,-11305,-0.8,-22037,-1,1586,10,0
31,METAPODxHARDEN,NA1_4239252493,1,6,2995,0.8,1932,2,964,10,1
32,METAPODxHARDEN,NA1_4239209106,-28,-30,-16520,-1.8,-21719,-4,1511,10,0
33,METAPODxHARDEN,NA1_4239205701,-25,-34,-15225,-1.6,-22747,-2,1742,10,0
34,METAPODxHARDEN,NA1_4239182058,-1,-2,2087,0.0,6778,0,2352,10,1
35,METAPODxHARDEN,NA1_4239139397,10,16,9207,1.2,21845,5,1828,10,1
36,METAPODxHARDEN,NA1_4239176015,18,31,8734,1.4,4438,3,1985,10,1
37,METAPODxHARDEN,NA1_4238820895,-14,3,-10477,-1.6,-12743,-1,1136,10,0
38,METAPODxHARDEN,NA1_4238794890,-26,-42,-14896,-1.2,-17849,-2,1475,10,0
39,METAPODxHARDEN,NA1_4238738758,34,48,21822,2.4,20254,3,1329,10,1
40,METAPODxHARDEN,NA1_4238470222,0,-11,2512,-0.0,10952,-2,2420,10,1
41,METAPODxHARDEN,NA1_4238416541,-21,-15,-15233,-1.6,-17405,-3,1338,10,0
42,METAPODxHARDEN,NA1_4238431823,-4,-22,-2167,-0.6,8157,-2,2163,10,0
43,METAPODxHARDEN,NA1_4238367373,-4,-25,-7455,-1.0,-8910,0,2053,10,0
44,METAPODxHARDEN,NA1_4238304058,11,17,-3069,-1.0,-4449,-2,2320,10,0
45,METAPODxHARDEN,NA1_4238183550,-15,-22,-10801,-1.6,-6076,-1,1456,10,0
46,METAPODxHARDEN,NA1_4238201333,-15,-7,-8655,-2.0,-18254,-4,1706,10,0
47,METAPODxHARDEN,NA1_4238049671,-11,-19,-9498,-1.8,3581,-1,2067,10,0
48,METAPODxHARDEN,NA1_4238067311,4,7,7664,1.4,12071,1,2171,10,1
49,METAPODxHARDEN,NA1_4238085657,-25,-23,-14530,-1.4,-17021,-3,1574,10,0
50,METAPODxHARDEN,NA1_4238093004,8,15,8827,1.6,9284,1,942,10,1
51,METAPODxHARDEN,NA1_4238071158,-4,-2,-9576,-1.8,-4134,-1,1831,10,0
52,METAPODxHARDEN,NA1_4237949476,5,-2,6819,1.2,6066,0,684,10,1
53,METAPODxHARDEN,NA1_4231720960,-10,-18,-7906,-1.6,-7816,-4,2177,10,0
54,METAPODxHARDEN,NA1_4231645366,-8,8,-10395,-1.2,-26439,-1,1515,10,0
55,METAPODxHARDEN,NA1_4231632517,2,4,6291,1.0,7359,2,820,10,1
56,METAPODxHARDEN,NA1_4231565738,-10,3,-4824,-0.6,-11141,-1,2118,10,0
57,METAPODxHARDEN,NA1_4231219326,-16,3,-13403,-1.2,-20775,-4,1717,10,0
58,METAPODxHARDEN,NA1_4226625714,18,40,11737,1.8,6022,2,1766,10,1
59,METAPODxHARDEN,NA1_4226054350,1,8,-4284,-0.4,-4476,-1,2386,10,0
60,METAPODxHARDEN,NA1_4225964653,-6,-30,-1240,0.2,16495,2,2446,10,1
61,METAPODxHARDEN,NA1_4223233687,-6,-4,-1115,0.0,13369,-3,2667,10,1
62,METAPODxHARDEN,NA1_4222863496,15,33,11634,0.4,11417,1,2537,10,1
63,METAPODxHARDEN,NA1_4222471611,8,27,3995,1.0,9478,3,1855,10,1
64,METAPODxHARDEN,NA1_4222385902,-26,-36,-16834,-1.6,-17582,-3,1357,10,0
65,METAPODxHARDEN,NA1_4222253833,-9,-21,-6977,-0.4,-12940,-1,1599,10,0
66,METAPODxHARDEN,NA1_4222177054,-5,-6,-5947,-1.0,-12307,-4,1969,10,0
67,METAPODxHARDEN,NA1_4220951661,-25,-39,-10809,-1.2,-8737,-3,1905,10,0
68,METAPODxHARDEN,NA1_4220895496,-4,-14,-5469,-0.4,-12824,1,1328,10,0
69,METAPODxHARDEN,NA1_4220860224,10,23,7520,1.0,12383,2,1436,10,1
70,METAPODxHARDEN,NA1_4218095786,8,10,5350,0.4,8053,0,2230,10,1
71,METAPODxHARDEN,NA1_4218073550,9,8,4834,1.0,1705,0,618,10,1
72,TheYoloSlayer,NA1_4224914925,-23,-28,-14541,-1.2,-20345,-2,1831,10,0
73,TheYoloSlayer,NA1_4224876065,20,42,11468,0.8,14922,2,1765,10,1
74,TheYoloSlayer,NA1_4223517402,-7,-22,-2412,-1.0,2604,-3,2625,10,0
75,TheYoloSlayer,NA1_4223473017,11,6,13289,1.6,19190,-2,1162,10,1
76,TheYoloSlayer,NA1_4223108786,-22,-37,-13866,-2.2,-11288,-2,1904,10,0
77,TheYoloSlayer,NA1_4222798576,9,28,4585,1.0,8840,0,2019,10,1
78,TheYoloSlayer,NA1_4222766416,13,22,10457,0.8,13336,1,1861,10,1
79,TheYoloSlayer,NA1_4222769927,-16,-28,-10321,-0.4,-13204,0,1572,10,0
80,TheYoloSlayer,NA1_4222705019,0,10,2089,0.8,508,-1,2105,10,1
81,TheYoloSlayer,NA1_4222667937,-24,-18,-15364,-1.0,-26288,-3,1292,10,0
82,TheYoloSlayer,NA1_4218020948,-12,-14,-9938,-1.6,-13523,-1,1295,10,0
83,TheYoloSlayer,NA1_4217967020,10,3,8962,0.8,7505,2,950,10,1
84,TheYoloSlayer,NA1_4217924424,-7,-4,-5931,-0.4,-3687,1,628,10,0
85,TheYoloSlayer,NA1_4217849580,26,34,15489,1.8,11376,3,1314,10,1
86,TheYoloSlayer,NA1_4217863315,23,35,9771,2.0,8804,3,1367,10,1
87,TheYoloSlayer,NA1_4194611323,8,19,-2651,0.2,2567,1,2124,10,0
88,TheYoloSlayer,NA1_4194550946,-21,-39,-11671,-1.8,-10569,-3,1860,10,0
89,TheYoloSlayer,NA1_4143060225,-23,-34,-12646,-1.6,-12456,-2,1753,10,0
90,TheYoloSlayer,NA1_4142429217,-8,-15,-1902,0.2,1893,-1,2343,10,1
91,TheYoloSlayer,NA1_4142421467,3,-9,9797,1.4,9142,1,1858,10,1
92,TheYoloSlayer,NA1_4139965906,1,4,4694,0.8,3999,0,2354,10,1
93,TheYoloSlayer,NA1_4139894952,-2,-21,3945,0.2,10220,1,2403,10,1
94,TheYoloSlayer,NA1_4139837054,23,39,12109,1.8,12330,3,1743,10,1
95,TheYoloSlayer,NA1_4137652161,12,10,7340,0.6,3998,2,936,10,1
96,TheYoloSlayer,NA1_4137623718,-23,-26,-11356,-1.6,-13691,-4,1772,10,0
97,TheYoloSlayer,NA1_4137533827,12,18,5197,0.0,12568,2,2307,10,1
98,TheYoloSlayer,NA1_4137455786,5,28,8875,1.6,18076,3,1751,10,1
99,TheYoloSlayer,NA1_4136462681,9,-2,5950,-0.2,21450,-2,2412,10,1
100,TheYoloSlayer,NA1_4136396970,8,12,7710,0.4,7268,-1,1166,10,1
101,TheYoloSlayer,NA1_4135304315,-16,-32,-12846,-2.6,-16722,1,1859,10,0
102,TheYoloSlayer,NA1_4135247801,23,15,19240,1.8,13823,2,1410,10,1
103,TheYoloSlayer,NA1_4131586278,20,44,6712,0.8,10471,-1,2018,10,1
104,TheYoloSlayer,NA1_4131527208,-16,-16,-7268,-1.0,-421,-3,1967,10,0
105,TheYoloSlayer,NA1_4131465555,-12,-5,-12655,0.2,-17148,-3,2768,10,0
106,TheYoloSlayer,NA1_4126794807,4,15,2563,0.4,10892,1,1397,10,1
107,TheYoloSlayer,NA1_4126746780,-17,-14,-7655,-0.6,-17804,-4,1639,10,0
108,TheYoloSlayer,NA1_4126697704,-15,-23,-15702,-0.8,-12731,1,1995,10,0
109,TheYoloSlayer,NA1_4126628010,-10,-4,-7279,-0.4,-19512,-3,2190,10,0
110,TheYoloSlayer,NA1_4126534762,15,40,3827,0.4,9612,1,2640,10,1
111,TheYoloSlayer,NA1_4126497365,-18,-18,-12471,-2.0,-3996,0,1290,10,0
112,TheYoloSlayer,NA1_4126471332,-24,-34,-11447,-2.0,-10527,-4,1775,10,0
113,TheYoloSlayer,NA1_4126373700,13,38,7755,1.4,14192,3,1975,10,1
114,TheYoloSlayer,NA1_4126338387,30,45,13517,1.6,10507,4,1600,10,1
115,TheYoloSlayer,NA1_4126342563,-22,-12,-13617,-2.6,-13206,-2,1706,10,0
116,TheYoloSlayer,NA1_4126277370,19,36,6019,1.0,2283,2,1842,10,1
117,TheYoloSlayer,NA1_4125744842,3,-4,4486,1.2,5714,1,1384,10,1
118,TheYoloSlayer,NA1_4125652573,1,2,-2202,-0.4,-3578,0,2552,10,0
119,TheYoloSlayer,NA1_4125624222,18,20,12385,1.8,19202,1,1526,10,1
120,TheYoloSlayer,NA1_4124833405,-7,-35,-4543,-0.6,1279,-1,2524,10,0
121,TheYoloSlayer,NA1_4124820018,-16,-11,-12766,-1.6,-17074,-3,1270,10,0
122,Invader Skoog,NA1_4200946331,-25,-37,-12948,-1.2,-14550,-4,1578,10,0
123,Invader Skoog,NA1_4188910312,-19,-37,-6006,-0.8,6738,-5,2020,10,0
124,Invader Skoog,NA1_4188664339,13,40,3998,1.0,5507,1,1736,10,1
125,Invader Skoog,NA1_4186416280,7,15,4018,0.0,1834,2,2914,10,1
126,Invader Skoog,NA1_4186388164,16,21,7652,1.8,1850,-1,1606,10,1
127,Invader Skoog,NA1_4186339453,11,15,5496,1.4,12821,2,1720,10,1
128,Invader Skoog,NA1_4186281446,-15,-33,-8696,-1.0,-10193,-1,1516,10,0
129,Invader Skoog,NA1_4186232347,-17,-30,-8356,-1.2,-3135,-5,1747,10,0
130,Invader Skoog,NA1_4186212288,13,6,11594,1.6,19499,3,1948,10,1
131,Invader Skoog,NA1_4185100462,15,25,14762,2.0,11075,4,1651,10,1
132,Invader Skoog,NA1_4184924781,-15,-20,-6385,-1.4,-4487,-1,2355,10,0
133,Invader Skoog,NA1_4184813829,-6,-15,-4208,-0.4,-16885,-4,2071,10,0
134,Invader Skoog,NA1_4184185363,-15,-10,35,-0.4,-1124,1,2557,10,0
135,Invader Skoog,NA1_4183671869,-6,-15,-4313,-0.6,-1795,1,2485,10,0
136,Invader Skoog,NA1_4183587900,16,13,8284,1.4,7634,0,1086,10,1
137,Invader Skoog,NA1_4183509046,-2,-11,4251,1.0,4633,-2,2249,10,1
138,Invader Skoog,NA1_4183477048,-20,-19,-14553,-1.4,-11778,0,2428,10,0
139,Invader Skoog,NA1_4183398201,17,16,4211,0.4,15558,1,2223,10,1
140,Invader Skoog,NA1_4183380362,-11,-7,-10859,-1.2,-20537,-3,1838,10,0
141,Invader Skoog,NA1_4182595109,7,11,6073,0.4,16467,5,1929,10,1
142,Invader Skoog,NA1_4182487204,12,34,5665,1.2,11178,3,2052,10,1
143,Invader Skoog,NA1_4182383754,-4,0,-6977,-1.2,-1657,-3,2592,10,0
144,Invader Skoog,NA1_4182263852,11,19,7580,1.0,7755,2,1206,10,1
145,Invader Skoog,NA1_4180563720,-9,-30,-7986,-0.4,2532,-5,2649,10,0
146,Invader Skoog,NA1_4180498415,21,30,13451,1.8,20629,4,1414,10,1
147,Invader Skoog,NA1_4178258594,-1,8,-7726,-0.8,-13699,-1,1729,10,0
148,Invader Skoog,NA1_4178149148,-24,-11,-11949,-0.6,-21730,-4,2223,10,0
149,Invader Skoog,NA1_4178129392,-35,-63,-16656,-2.4,-16840,-2,1712,10,0
150,Invader Skoog,NA1_4178082352,18,25,17003,1.4,25796,4,1511,10,1
151,Invader Skoog,NA1_4178024271,-18,-20,-11048,-1.8,-18005,-2,1698,10,0
152,Invader Skoog,NA1_4177909929,-12,-17,-4303,-0.2,-2470,0,2329,10,0
153,Invader Skoog,NA1_4176952249,18,33,10111,0.6,14819,4,1566,10,1
154,Invader Skoog,NA1_4176887352,-18,1,-11699,-1.8,-10894,-3,1419,10,0
155,Invader Skoog,NA1_4176861587,6,-3,5631,0.6,12696,1,1587,10,1
156,Invader Skoog,NA1_4176814520,17,32,6004,1.6,3333,3,1607,10,1
157,Invader Skoog,NA1_4176756707,3,21,6626,1.0,12577,0,1709,10,1
158,Invader Skoog,NA1_4133559099,1,12,3496,0.8,19774,0,2148,10,1
159,Invader Skoog,NA1_4133583148,-7,-30,-6995,-1.2,-5732,-2,1868,10,0
160,Invader Skoog,NA1_4133518463,15,17,4165,1.0,9825,-2,1741,10,1
161,Invader Skoog,NA1_4104815605,15,24,13749,1.8,2114,1,2014,10,1
162,Invader Skoog,NA1_4104768719,15,-9,7322,0.2,18517,4,1940,10,1
163,Invader Skoog,NA1_4100307819,14,7,7435,0.2,14318,4,1632,10,1
164,Invader Skoog,NA1_4096670240,21,20,10170,1.6,18384,3,1868,10,1
165,Invader Skoog,NA1_4096453961,-14,-6,-10876,-1.4,-20970,-1,1474,10,0
166,Invader Skoog,NA1_4094857598,-17,-23,-11874,-1.2,-22995,-3,2079,10,0
167,Invader Skoog,NA1_4092801026,17,34,9995,1.0,14108,3,1836,10,1
168,Invader Skoog,NA1_4092781872,-26,-42,-18453,-2.0,-22740,-3,1471,10,0
169,Invader Skoog,NA1_4092685281,-14,-16,-11076,-2.0,-7368,3,1660,10,0
170,Invader Skoog,NA1_4091680233,16,23,13168,1.6,37238,0,1586,10,1
171,Invader Skoog,NA1_4090409509,12,0,7611,0.6,17726,5,1988,10,1
172,lIIIlIIllllIII,NA1_4278015949,27,36,11810,1.2,12618,3,1412,10,1
173,lIIIlIIllllIII,NA1_4272997268,-21,-19,-12786,-1.2,-15771,-3,1418,10,0
174,lIIIlIIllllIII,NA1_4264791385,14,4,10948,1.0,17249,1,2202,10,1
175,lIIIlIIllllIII,NA1_4264719194,14,33,6017,0.0,9718,3,2018,10,1
176,lIIIlIIllllIII,NA1_4264736726,22,17,14497,1.4,21908,0,1472,10,1
177,lIIIlIIllllIII,NA1_4263533443,0,1,-7358,-1.0,-15316,-1,1439,10,0
178,lIIIlIIllllIII,NA1_4263540361,27,42,16792,2.4,18078,0,1608,10,1
179,lIIIlIIllllIII,NA1_4263477492,-3,-18,-6291,-1.2,-2263,1,1624,10,0
180,lIIIlIIllllIII,NA1_4216539377,-7,-13,-7925,-1.0,-12253,-3,1495,10,0
181,lIIIlIIllllIII,NA1_4216554676,-18,-5,-10109,-0.6,-20832,-3,1360,10,0
182,lIIIlIIllllIII,NA1_4216459705,-11,-24,-5541,-1.2,-10185,-3,2136,10,0
183,lIIIlIIllllIII,NA1_4216444794,-13,20,-7183,-0.2,-18900,0,2228,10,0
184,lIIIlIIllllIII,NA1_4212325311,-21,-15,-6861,-0.6,-9549,-3,1282,10,0
185,lIIIlIIllllIII,NA1_4212321258,-21,-19,-16014,-1.6,-15756,2,1664,10,0
186,lIIIlIIllllIII,NA1_4211022028,28,33,15259,1.6,18440,3,1262,10,1
187,lIIIlIIllllIII,NA1_4211017717,20,37,10324,1.8,4016,0,1523,10,1
188,lIIIlIIllllIII,NA1_4210983973,26,53,15647,1.6,13896,4,2038,10,1
189,lIIIlIIllllIII,NA1_4209193875,8,1,9542,0.8,13856,1,941,10,1
190,lIIIlIIllllIII,NA1_4209111259,18,-3,9471,1.0,17082,0,1673,10,1
191,SoloTeemoOnlyPls,NA1_4247216872,13,11,8889,1.4,4380,0,1113,10,1
192,SoloTeemoOnlyPls,NA1_4247162189,10,21,8083,1.2,21606,1,1820,10,1
193,SoloTeemoOnlyPls,NA1_4247126175,18,17,13933,1.0,15264,3,1357,10,1
194,SoloTeemoOnlyPls,NA1_4224206669,22,14,7607,0.0,18169,0,2299,10,1
195,SoloTeemoOnlyPls,NA1_4223771933,40,56,9488,2.4,-1041,3,2155,10,1
196,SoloTeemoOnlyPls,NA1_4223705951,-13,-20,-7955,-1.2,-8919,-3,1426,10,0
197,SoloTeemoOnlyPls,NA1_4217295433,12,15,5513,0.4,5885,1,1511,10,1
198,SoloTeemoOnlyPls,NA1_4217270725,-17,-15,-6651,-0.6,-14514,-1,2433,10,0
199,SoloTeemoOnlyPls,NA1_4216480443,-7,11,2266,0.6,-17465,-2,2426,10,0
200,SoloTeemoOnlyPls,NA1_4215773985,22,30,13527,2.0,10675,4,1515,10,1
201,SoloTeemoOnlyPls,NA1_4215669048,28,36,15989,2.0,20325,4,1598,10,1
202,SoloTeemoOnlyPls,NA1_4212229508,1,2,420,0.0,358,-1,2601,10,1
203,SoloTeemoOnlyPls,NA1_4212195829,-1,36,7584,1.4,11642,2,1828,10,1
204,SoloTeemoOnlyPls,NA1_4212109508,10,9,3567,-0.0,4704,-1,1917,10,1
205,SoloTeemoOnlyPls,NA1_4212066546,5,-19,-1105,0.0,-3644,-1,2095,10,1
206,SoloTeemoOnlyPls,NA1_4212052905,-19,-14,-8678,-1.4,-7115,-2,2514,10,0
207,SoloTeemoOnlyPls,NA1_4212110508,10,11,5956,1.2,2471,1,655,10,1
208,SoloTeemoOnlyPls,NA1_4211987570,5,4,8267,1.2,4506,4,2342,10,1
209,SoloTeemoOnlyPls,NA1_4211985046,3,0,9025,1.0,13631,-4,1854,10,1
210,SoloTeemoOnlyPls,NA1_4211973110,16,29,345,0.0,-2144,3,1899,10,1
211,SoloTeemoOnlyPls,NA1_4211337187,-17,-29,-12699,-1.8,-9812,-2,2181,10,0
212,SoloTeemoOnlyPls,NA1_4211242993,-5,-23,-3590,-1.2,3513,-5,2226,10,0
213,SoloTeemoOnlyPls,NA1_4199548135,7,12,7995,1.8,6893,-1,1791,10,1
214,SoloTeemoOnlyPls,NA1_4199511536,22,25,12742,1.0,12804,3,2098,10,1
215,SoloTeemoOnlyPls,NA1_4199422798,2,30,4904,-0.4,23991,1,2717,10,1
216,SoloTeemoOnlyPls,NA1_4199377012,-23,-19,-11888,-1.6,-11390,-2,1641,10,0
217,SoloTeemoOnlyPls,NA1_4199342108,-10,-28,-14716,-2.4,-17506,-3,2062,10,0
218,SoloTeemoOnlyPls,NA1_4199276923,14,41,1590,0.8,8466,3,2246,10,1
219,SoloTeemoOnlyPls,NA1_4199292809,15,40,7519,1.2,10026,2,1686,10,1
220,SoloTeemoOnlyPls,NA1_4194793356,-22,-37,-11717,-1.8,-16954,-5,1978,10,0
221,SoloTeemoOnlyPls,NA1_4194722251,1,-4,-2940,-0.2,-7200,-2,1933,10,0
222,SoloTeemoOnlyPls,NA1_4194661309,-25,-33,-16198,-2.0,-15373,-4,1695,10,0
223,SoloTeemoOnlyPls,NA1_4194592063,21,48,7980,2.2,6917,3,1471,10,1
224,SoloTeemoOnlyPls,NA1_4194469117,5,19,1444,0.8,-3110,-3,2156,10,1
225,SoloTeemoOnlyPls,NA1_4194458447,-18,-31,-12758,-1.4,-20991,-3,2003,10,0
226,SoloTeemoOnlyPls,NA1_4194288866,15,38,11059,1.4,16236,0,1802,10,1
227,SoloTeemoOnlyPls,NA1_4194310625,-13,-11,-10611,-1.4,-22929,0,1779,10,0
228,SoloTeemoOnlyPls,NA1_4194129738,-11,-21,-10547,-1.4,-15342,-2,1685,10,0
229,SoloTeemoOnlyPls,NA1_4194077517,-22,-7,-13485,-1.4,-12006,-2,966,10,0
230,SoloTeemoOnlyPls,NA1_4194084702,-5,-14,-8703,-2.2,-10769,-3,1252,10,0
231,SoloTeemoOnlyPls,NA1_4194079865,20,44,9317,0.8,14059,2,1953,10,1
232,SoloTeemoOnlyPls,NA1_4193987870,-9,-16,-3738,-1.0,-8725,-1,1163,10,0
233,SoloTeemoOnlyPls,NA1_4193985010,-19,-13,-11035,-1.2,-16226,-2,1769,10,0
234,SoloTeemoOnlyPls,NA1_4190480100,-12,-23,-7970,-2.4,-17695,1,1516,10,0
235,SoloTeemoOnlyPls,NA1_4190422328,-21,-22,-5784,-1.8,-1203,-4,1631,10,0
236,SoloTeemoOnlyPls,NA1_4190334174,-3,4,-3856,-0.6,-18950,-5,1981,10,0
237,SoloTeemoOnlyPls,NA1_4190267904,9,12,7986,0.8,12898,1,1515,10,1
238,SoloTeemoOnlyPls,NA1_4190261800,10,22,3680,0.8,-1478,3,1374,10,1
239,SoloTeemoOnlyPls,NA1_4190227048,-18,-22,-13892,-1.8,-9231,0,1086,10,0
240,SoloTeemoOnlyPls,NA1_4190210036,-14,2,-9731,-0.6,-1039,-1,1931,10,0
241,mokeymann,NA1_4280664782,5,27,10105,1.8,11045,5,2189,10,1
242,mokeymann,NA1_4279689427,-22,-18,-12217,-2.2,-9892,-4,1607,10,0
243,mokeymann,NA1_4279701031,2,-4,6115,1.0,13075,4,2198,10,1
244,mokeymann,NA1_4277698600,-5,-34,-5376,-1.2,2938,-2,2271,10,0
245,mokeymann,NA1_4277070046,18,23,13311,1.2,17699,1,1943,10,1
246,mokeymann,NA1_4276713116,-11,-5,-11759,-1.4,-20244,-5,1861,10,0
247,mokeymann,NA1_4276700342,-3,-7,-3073,-0.6,-2939,-1,690,10,0
248,mokeymann,NA1_4276242253,10,4,7330,1.0,7635,1,1279,10,1
249,mokeymann,NA1_4276209257,17,2,12809,1.6,22540,0,1702,10,1
250,mokeymann,NA1_4273714301,-18,-8,-13099,-1.6,-16689,-3,1384,10,0
251,mokeymann,NA1_4273681166,18,45,9002,1.4,9239,3,1545,10,1
252,mokeymann,NA1_4269523459,-2,5,-5669,-1.0,-15854,3,2082,10,0
253,mokeymann,NA1_4268171639,-3,14,335,0.4,-4150,-1,2092,10,0
254,mokeymann,NA1_4268021552,16,13,12889,0.8,21872,3,1247,10,1
255,mokeymann,NA1_4262374495,4,-5,6874,0.8,10854,3,2028,10,1
256,mokeymann,NA1_4260044307,13,15,11076,0.8,16924,3,1995,10,1
257,mokeymann,NA1_4259844649,-10,-5,-5803,0.2,-12347,-1,2483,10,0
258,mokeymann,NA1_4259508226,14,5,9247,1.2,10606,1,970,10,1
259,mokeymann,NA1_4259091197,-7,-13,-11091,-1.4,-14457,-3,1600,10,0
260,mokeymann,NA1_4259064544,1,-13,-7737,-1.0,-7700,-2,1689,10,0
261,mokeymann,NA1_4257519464,21,10,13493,1.6,22321,2,1587,10,1
262,mokeymann,NA1_4257317686,19,22,12638,1.6,18381,2,1905,10,1
263,mokeymann,NA1_4256857367,28,47,10683,1.6,4408,3,1639,10,1
264,mokeymann,NA1_4256659108,8,16,-1718,0.6,-13108,2,1922,10,0
265,mokeymann,NA1_4255360252,12,1,8292,2.0,12222,1,1444,10,1
266,mokeymann,NA1_4254921093,-4,0,-6910,0.2,-23400,-1,2140,10,0
267,mokeymann,NA1_4253775907,-16,-33,-7047,-2.0,229,-1,1287,10,0
268,mokeymann,NA1_4253761305,18,44,15121,2.0,12140,-1,1676,10,1
269,mokeymann,NA1_4253333237,19,28,7792,1.8,7111,1,2011,10,1
270,mokeymann,NA1_4250359589,5,2,9481,-0.0,23371,4,1762,10,1
271,mokeymann,NA1_4249636685,-6,-4,-3868,-0.6,-12489,-5,1907,10,0
272,mokeymann,NA1_4249079120,7,21,6321,0.4,5873,1,2414,10,1
273,mokeymann,NA1_4248300339,-16,-13,-10027,-1.2,-5467,-3,1247,10,0
274,mokeymann,NA1_4248221638,11,39,8427,1.4,10133,1,2035,10,1
275,mokeymann,NA1_4248157133,-29,-30,-10572,-1.2,-20955,-1,1938,10,0
276,mokeymann,NA1_4247285538,-18,-22,-7979,-1.4,-14958,-2,1632,10,0
277,mokeymann,NA1_4247291760,-6,-5,-5999,-1.2,-5936,-1,832,10,0
278,mokeymann,NA1_4247226037,-14,-22,-10430,-1.2,-19433,1,1553,10,0
279,mokeymann,NA1_4247088154,22,30,16589,1.8,20566,3,1484,10,1
280,mokeymann,NA1_4244995103,15,6,12220,1.6,17325,3,2087,10,1
281,mokeymann,NA1_4244127741,27,27,10808,1.8,1189,3,2135,10,1
282,mokeymann,NA1_4242852858,-27,-32,-16658,-1.8,-18995,-3,1216,10,0
283,mokeymann,NA1_4241992389,-8,-25,-11978,-1.8,-17430,-1,1820,10,0
284,mokeymann,NA1_4241601489,10,15,6816,1.4,5695,3,1835,10,1
285,mokeymann,NA1_4240983049,15,8,10593,1.4,9981,2,2489,10,1
286,mokeymann,NA1_4240573708,16,14,7097,1.2,7674,2,1687,10,1
287,mokeymann,NA1_4238531360,4,-3,-2110,0.2,-7274,0,2493,10,0
288,mokeymann,NA1_4233406677,-6,14,-10109,-1.0,-11178,-1,2250,10,0
289,mokeymann,NA1_4230991428,20,22,3108,-0.4,655,0,2452,10,0
290,mokeymann,NA1_4230954128,-9,-35,-1378,-1.4,10249,0,1974,10,1
291,MrShmeeee,NA1_4280643379,22,26,14811,2.0,22060,2,1419,10,1
292,MrShmeeee,NA1_4271370703,19,43,8735,0.8,11977,1,1829,10,1
293,MrShmeeee,NA1_4271332335,-8,-1,-9360,-1.0,-695,2,1955,10,0
294,MrShmeeee,NA1_4271294201,11,-20,5649,0.2,17223,-1,2074,10,1
295,MrShmeeee,NA1_4271292464,0,0,-464,-0.4,0,0,195,10,0
296,MrShmeeee,NA1_4270993507,-24,-22,-10285,-1.2,-15633,-4,1825,10,0
297,MrShmeeee,NA1_4264358192,3,-10,1954,-0.2,8513,-1,2213,10,1
298,MrShmeeee,NA1_4264166461,10,-4,2573,0.4,9258,2,2080,10,1
299,MrShmeeee,NA1_4264173392,4,1,3525,1.2,1237,1,622,10,1
